# mur		muf		alpsfact	dynamical_scale	pdf		cross-section
1.0		1.0		1.0		-1		247000		0.7641013594561701
0.5		0.5		1.0		-1		247000		0.7505861181820469
0.5		0.5		1.0		1		247000		0.7633175811435384
0.5		0.5		1.0		2		247000		0.7633175811447779
0.5		0.5		1.0		3		247000		0.7493624641342512
0.5		0.5		1.0		4		247000		0.7627790993781226
0.5		1.0		1.0		-1		247000		0.7641013594561701
0.5		1.0		1.0		1		247000		0.7717323723839867
0.5		1.0		1.0		2		247000		0.7717323723851711
0.5		1.0		1.0		3		247000		0.7633175811447779
0.5		1.0		1.0		4		247000		0.769822710454946
0.5		2.0		1.0		-1		247000		0.772147515120482
0.5		2.0		1.0		1		247000		0.7756035857524661
0.5		2.0		1.0		2		247000		0.7756035857535927
0.5		2.0		1.0		3		247000		0.7717323723851711
0.5		2.0		1.0		4		247000		0.7726929504196038
1.0		0.5		1.0		-1		247000		0.7505861181820469
1.0		0.5		1.0		1		247000		0.7633175811435384
1.0		0.5		1.0		2		247000		0.7633175811447779
1.0		0.5		1.0		3		247000		0.7493624641342512
1.0		0.5		1.0		4		247000		0.7627790993781226
1.0		1.0		1.0		1		247000		0.7717323723839867
1.0		1.0		1.0		2		247000		0.7717323723851711
1.0		1.0		1.0		3		247000		0.7633175811447779
1.0		1.0		1.0		4		247000		0.769822710454946
1.0		2.0		1.0		-1		247000		0.772147515120482
1.0		2.0		1.0		1		247000		0.7756035857524661
1.0		2.0		1.0		2		247000		0.7756035857535927
1.0		2.0		1.0		3		247000		0.7717323723851711
1.0		2.0		1.0		4		247000		0.7726929504196038
2.0		0.5		1.0		-1		247000		0.7505861181820469
2.0		0.5		1.0		1		247000		0.7633175811435384
2.0		0.5		1.0		2		247000		0.7633175811447779
2.0		0.5		1.0		3		247000		0.7493624641342512
2.0		0.5		1.0		4		247000		0.7627790993781226
2.0		1.0		1.0		-1		247000		0.7641013594561701
2.0		1.0		1.0		1		247000		0.7717323723839867
2.0		1.0		1.0		2		247000		0.7717323723851711
2.0		1.0		1.0		3		247000		0.7633175811447779
2.0		1.0		1.0		4		247000		0.769822710454946
2.0		2.0		1.0		-1		247000		0.772147515120482
2.0		2.0		1.0		1		247000		0.7756035857524661
2.0		2.0		1.0		2		247000		0.7756035857535927
2.0		2.0		1.0		3		247000		0.7717323723851711
2.0		2.0		1.0		4		247000		0.7726929504196038
1.0		1.0		1.0		-1		247000		0.7641013594561701
1.0		1.0		1.0		-1		247001		0.7683411969237642
1.0		1.0		1.0		-1		247002		0.7468333925569186
1.0		1.0		1.0		-1		247003		0.7537288165871858
1.0		1.0		1.0		-1		247004		0.757110993179992
1.0		1.0		1.0		-1		247005		0.6970515182413567
1.0		1.0		1.0		-1		247006		0.7629705430214395
1.0		1.0		1.0		-1		247007		0.7670705195055826
1.0		1.0		1.0		-1		247008		0.778255379119903
1.0		1.0		1.0		-1		247009		0.7520763363139334
1.0		1.0		1.0		-1		247010		0.7512680080547287
1.0		1.0		1.0		-1		247011		0.8078501585140341
1.0		1.0		1.0		-1		247012		0.7323487269237778
1.0		1.0		1.0		-1		247013		0.7891165461283048
1.0		1.0		1.0		-1		247014		0.7303563757756418
1.0		1.0		1.0		-1		247015		0.7628716715498955
1.0		1.0		1.0		-1		247016		0.8020432857085172
1.0		1.0		1.0		-1		247017		0.788492521663326
1.0		1.0		1.0		-1		247018		0.7785915084186601
1.0		1.0		1.0		-1		247019		0.7586543161079168
1.0		1.0		1.0		-1		247020		0.7516869118946368
1.0		1.0		1.0		-1		247021		0.7762828691239005
1.0		1.0		1.0		-1		247022		0.7818691284559831
1.0		1.0		1.0		-1		247023		0.6752329051562863
1.0		1.0		1.0		-1		247024		0.7361517497280555
1.0		1.0		1.0		-1		247025		0.7617040065169579
1.0		1.0		1.0		-1		247026		0.7748598949024842
1.0		1.0		1.0		-1		247027		0.767326521868897
1.0		1.0		1.0		-1		247028		0.7874002900449709
1.0		1.0		1.0		-1		247029		0.7064821685162841
1.0		1.0		1.0		-1		247030		0.7362034613223323
1.0		1.0		1.0		-1		247031		0.7846137329055942
1.0		1.0		1.0		-1		247032		0.7870209220010302
1.0		1.0		1.0		-1		247033		0.7877189008702828
1.0		1.0		1.0		-1		247034		0.771116080044094
1.0		1.0		1.0		-1		247035		0.8095637669423652
1.0		1.0		1.0		-1		247036		0.7728605920039516
1.0		1.0		1.0		-1		247037		0.7620039075307242
1.0		1.0		1.0		-1		247038		0.7449390670383708
1.0		1.0		1.0		-1		247039		0.7660719697970255
1.0		1.0		1.0		-1		247040		0.7663670533765284
1.0		1.0		1.0		-1		247041		0.7732763251051382
1.0		1.0		1.0		-1		247042		0.7737532185716327
1.0		1.0		1.0		-1		247043		0.7659255055218315
1.0		1.0		1.0		-1		247044		0.8015610031405198
1.0		1.0		1.0		-1		247045		0.8166267117396769
1.0		1.0		1.0		-1		247046		0.7469776838007799
1.0		1.0		1.0		-1		247047		0.7959162138772373
1.0		1.0		1.0		-1		247048		0.7587533807135429
1.0		1.0		1.0		-1		247049		0.7921828317155133
1.0		1.0		1.0		-1		247050		0.7565580425037407
1.0		1.0		1.0		-1		247051		0.7450815313362336
1.0		1.0		1.0		-1		247052		0.7844209408225685
1.0		1.0		1.0		-1		247053		0.7689608020276574
1.0		1.0		1.0		-1		247054		0.8092105869237328
1.0		1.0		1.0		-1		247055		0.7919640189678128
1.0		1.0		1.0		-1		247056		0.6956670480192849
1.0		1.0		1.0		-1		247057		0.7357251768550384
1.0		1.0		1.0		-1		247058		0.7487055376632147
1.0		1.0		1.0		-1		247059		0.748343242571666
1.0		1.0		1.0		-1		247060		0.7534016073852126
1.0		1.0		1.0		-1		247061		0.797500313581661
1.0		1.0		1.0		-1		247062		0.760566638012824
1.0		1.0		1.0		-1		247063		0.8153024762855897
1.0		1.0		1.0		-1		247064		0.7780190271366242
1.0		1.0		1.0		-1		247065		0.7927393899677164
1.0		1.0		1.0		-1		247066		0.7805945223891742
1.0		1.0		1.0		-1		247067		0.7632817634797836
1.0		1.0		1.0		-1		247068		0.7675314084499588
1.0		1.0		1.0		-1		247069		0.7620150898495203
1.0		1.0		1.0		-1		247070		0.7784141388685445
1.0		1.0		1.0		-1		247071		0.7351112289959018
1.0		1.0		1.0		-1		247072		0.7562055418658672
1.0		1.0		1.0		-1		247073		0.7367384233917496
1.0		1.0		1.0		-1		247074		0.7675019817319745
1.0		1.0		1.0		-1		247075		0.7672828694181616
1.0		1.0		1.0		-1		247076		0.7629144374479457
1.0		1.0		1.0		-1		247077		0.776996969887635
1.0		1.0		1.0		-1		247078		0.7991822278625523
1.0		1.0		1.0		-1		247079		0.7147824709268608
1.0		1.0		1.0		-1		247080		0.6740901313309176
1.0		1.0		1.0		-1		247081		0.7716891619957377
1.0		1.0		1.0		-1		247082		0.7690356838186414
1.0		1.0		1.0		-1		247083		0.7872162101213892
1.0		1.0		1.0		-1		247084		0.7263942915256106
1.0		1.0		1.0		-1		247085		0.7510934438156254
1.0		1.0		1.0		-1		247086		0.7659342993022321
1.0		1.0		1.0		-1		247087		0.7331100461711587
1.0		1.0		1.0		-1		247088		0.7750271401574844
1.0		1.0		1.0		-1		247089		0.7509703596483123
1.0		1.0		1.0		-1		247090		0.7378408957744136
1.0		1.0		1.0		-1		247091		0.7423278211433192
1.0		1.0		1.0		-1		247092		0.780828921966102
1.0		1.0		1.0		-1		247093		0.7751748338907634
1.0		1.0		1.0		-1		247094		0.7667876969805539
1.0		1.0		1.0		-1		247095		0.7415447754758056
1.0		1.0		1.0		-1		247096		0.7383565030451504
1.0		1.0		1.0		-1		247097		0.8317006690053831
1.0		1.0		1.0		-1		247098		0.7737548074361049
1.0		1.0		1.0		-1		247099		0.7890612857306932
1.0		1.0		1.0		-1		247100		0.7897676940687237

#***************************************************************************
#
# original cross-section: 0.7641013594561701
#     scale variation: +1.05% -1.77%
#     central scheme variation: +0.999% -0.103%
